1665244121.000000, 1665244121.000000, 1665244121.000000
32.000000, 32.000000, 32.000000
63,24,24
63,21,23
56,19,28
52,18,25
46,19,27
42,23,28
51,26,28
57,25,32
51,21,30
64,23,23
55,8,16
58,24,18
72,-15,17
59,-4,31
76,-11,37
76,-20,44
35,-12,33
42,-21,46
49,-23,30
56,-14,37
55,-13,42
47,-13,37
61,-13,37
57,-16,35
69,-13,40
67,-5,33
75,-7,40
84,-17,40
79,-26,45
52,-31,42
45,-30,35
37,-32,48
48,-38,33
43,-33,33
20,-32,40
27,-38,41
18,-48,35
0,-51,23
8,-51,35
-5,-47,39
-11,-46,27
-13,-45,32
-10,-43,35
-7,-46,29
-8,-44,30
-5,-46,31
-8,-43,27
-8,-45,29
-13,-47,33
-13,-47,34
-10,-52,31
-4,-54,29
-14,-53,29
-11,-52,36
-11,-52,32
-7,-53,33
-9,-54,32
-10,-53,32
-11,-52,32
-10,-51,32
-13,-51,31
-10,-53,32
-9,-53,31
-10,-53,30
-8,-52,31
-12,-51,31
-10,-49,30
-9,-47,32
-14,-47,36
-25,-42,32
-31,-40,27
-6,-38,28
-4,-42,24
16,-52,22
36,-54,25
46,-57,27
32,-59,28
26,-54,40
29,-52,45
29,-48,52
31,-47,54
30,-45,46
32,-45,44
35,-40,43
35,-34,40
34,-33,39
31,-37,38
33,-35,39
21,-36,31
28,-33,39
26,-30,41
23,-28,38
23,-27,36
34,-23,44
25,-25,36
30,-23,39
45,-14,46
44,-10,44
47,-10,40
51,-4,48
52,-5,47
46,-5,45
43,-6,46
47,-2,51
45,-3,50
38,-1,49
56,5,53
24,-8,48
41,2,47
48,3,58
43,4,55
38,9,47
37,14,44
29,21,43
49,28,46
53,29,49
30,25,38
32,22,36
51,23,41
47,18,37
52,14,37
51,4,38
56,0,36
59,-3,34
63,-10,32
62,-11,31
62,-11,29
63,-12,27
62,-13,26
62,-15,24
61,-15,25
58,-16,23
57,-16,22
56,-12,25
53,-7,26
52,-5,23
48,-2,15
49,0,14
49,6,17
42,11,26
42,15,36
54,14,38
61,11,25
53,44,8
14,75,9
25,68,25
25,76,49
28,67,54
54,49,52
68,30,24
66,27,21
59,38,11
53,31,7
54,35,8
45,31,17
55,22,14
54,18,10
53,21,-9
