TimeStamp,AccMag
1647015108.53125,64.53681120105021
1647015108.5625,64.45153217728807
1647015108.59375,64.53681120105021
1647015108.625,64.53681120105021
1647015108.65625,64.45153217728807
1647015108.6875,64.45153217728807
1647015108.71875,64.45153217728807
1647015108.75,64.53681120105021
1647015108.78125,64.53681120105021
1647015108.8125,64.53681120105021
1647015108.84375,64.53681120105021
1647015108.875,64.53681120105021
1647015108.90625,64.53681120105021
1647015108.9375,64.53681120105021
1647015108.96875,64.53681120105021
1647015109.0,64.53681120105021
1647015109.03125,64.53681120105021
1647015109.0625,64.53681120105021
1647015109.09375,64.53681120105021
1647015109.125,64.53681120105021
1647015109.15625,64.53681120105021
1647015109.1875,64.53681120105021
1647015109.21875,64.53681120105021
1647015109.25,64.89992295835181
1647015109.28125,64.45153217728807
1647015109.3125,64.45153217728807
1647015109.34375,64.53681120105021
1647015109.375,64.53681120105021
1647015109.40625,64.45153217728807
1647015109.4375,64.53681120105021
1647015109.46875,64.53681120105021
1647015109.5,65.92419889539804
1647015109.53125,77.80745465570763
1647015109.5625,81.70067319184096
1647015109.59375,88.10788840960836
1647015109.625,82.34682750416071
1647015109.65625,74.35052118176442
1647015109.6875,65.14598989960932
1647015109.71875,54.74486277268398
1647015109.75,50.695167422546305
1647015109.78125,53.03772242470448
1647015109.8125,60.56401571890688
1647015109.84375,66.06057825965497
1647015109.875,62.68971207462992
1647015109.90625,63.35613624582863
1647015109.9375,64.35837163881635
1647015109.96875,60.44832503882965
1647015110.0,57.7148161220323
1647015110.03125,57.3410847473258
1647015110.0625,56.471231613982
1647015110.09375,53.749418601506754
1647015110.125,55.65069631190611
1647015110.15625,58.966091951222275
1647015110.1875,61.66036003787198
1647015110.21875,61.36774397026503
1647015110.25,61.927376821564145
1647015110.28125,63.079315151640635
1647015110.3125,64.78425734698207
1647015110.34375,65.36818798161687
1647015110.375,49.34571916590131
1647015110.40625,54.415071441651165
1647015110.4375,65.24568951279464
1647015110.46875,63.2771680782255
1647015110.5,64.78425734698207
1647015110.53125,66.21933252457322
1647015110.5625,62.52199612936234
1647015110.59375,66.24952830020754
1647015110.625,51.39066063011839
1647015110.65625,68.37397165588672
1647015110.6875,65.94694837519019
1647015110.71875,53.17894320123333
1647015110.75,58.60034129593445
1647015110.78125,58.73670062235365
1647015110.8125,78.28793010419933
1647015110.84375,68.60757975617562
1647015110.875,73.60027173862879
1647015110.90625,60.55575942881073
1647015110.9375,59.74947698515862
1647015110.96875,60.597029630172464
1647015111.0,67.67569726275453
1647015111.03125,74.16872656315464
1647015111.0625,80.45495634204272
1647015111.09375,85.73214099741124
1647015111.125,83.12039460926542
1647015111.15625,63.103090257134
1647015111.1875,47.89572005931219
1647015111.21875,48.373546489791295
1647015111.25,50.33885179461288
1647015111.28125,45.05552130427524
