,0,1,2
0,57.53125,0.609375,1647181652.53125
1,58.265625,0.734375,1647181653.265625
2,58.921875,0.65625,1647181653.921875
3,59.5625,0.640625,1647181654.5625
4,60.25,0.6875,1647181655.25
5,60.84375,0.59375,1647181655.84375
6,61.609375,0.765625,1647181656.609375
7,62.265625,0.65625,1647181657.265625
8,62.921875,0.65625,1647181657.921875
9,63.640625,0.71875,1647181658.640625
10,64.296875,0.65625,1647181659.296875
11,64.96875,0.671875,1647181659.96875
12,65.6875,0.71875,1647181660.6875
13,66.359375,0.671875,1647181661.359375
14,73.109375,0.65625,1647181668.109375
15,73.765625,0.65625,1647181668.765625
16,74.46875,0.703125,1647181669.46875
17,82.40625,0.734375,1647181677.40625
18,83.0625,0.65625,1647181678.0625
19,83.671875,0.609375,1647181678.671875
20,84.375,0.703125,1647181679.375
21,89.109375,0.6875,1647181684.109375
22,89.78125,0.671875,1647181684.78125
23,236.687499,0.59375,1647181831.687499
24,237.328124,0.640625,1647181832.328124
25,237.999999,0.671875,1647181832.999999
26,362.187499,0.625,1647181957.187499
27,362.812499,0.625,1647181957.812499
28,514.578124,0.4375,1647182109.578124
29,545.328124,0.609375,1647182140.328124
30,545.953124,0.625,1647182140.953124
31,546.578124,0.625,1647182141.578124
32,547.156249,0.578125,1647182142.156249
33,741.093749,0.625,1647182336.093749
34,993.703124,0.640625,1647182588.703124
35,994.343749,0.640625,1647182589.343749
36,994.874999,0.53125,1647182589.874999
37,995.468749,0.59375,1647182590.468749
38,996.109374,0.640625,1647182591.109374
39,996.781249,0.671875,1647182591.781249
40,1000.343749,0.515625,1647182595.343749
41,1011.890624,0.578125,1647182606.890624
42,1012.484374,0.59375,1647182607.484374
43,1013.062499,0.578125,1647182608.062499
44,1013.734374,0.671875,1647182608.734374
45,1014.249999,0.515625,1647182609.249999
46,1055.968749,0.609375,1647182650.968749
47,1056.562499,0.59375,1647182651.562499
48,1057.187499,0.625,1647182652.187499
49,1057.765624,0.578125,1647182652.765624
50,1058.374999,0.609375,1647182653.374999
51,1058.999999,0.625,1647182653.999999
52,1059.609374,0.609375,1647182654.609374
53,1060.281249,0.671875,1647182655.281249
54,1060.874999,0.59375,1647182655.874999
55,1061.499999,0.625,1647182656.499999
56,1062.124999,0.625,1647182657.124999
57,1062.765624,0.640625,1647182657.765624
58,1063.453124,0.6875,1647182658.453124
59,1064.062499,0.609375,1647182659.062499
60,1064.703124,0.640625,1647182659.703124
61,1065.343749,0.640625,1647182660.343749
62,1065.999999,0.65625,1647182660.999999
63,1066.640624,0.640625,1647182661.640624
64,1067.249999,0.609375,1647182662.249999
65,1067.937499,0.6875,1647182662.937499
66,1068.609374,0.671875,1647182663.609374
67,1083.031249,0.625,1647182678.031249
68,1083.640624,0.609375,1647182678.640624
69,1084.281249,0.640625,1647182679.281249
70,1084.890624,0.609375,1647182679.890624
71,1092.593749,1.15625,1647182687.593749
72,1093.640624,1.046875,1647182688.640624
73,1094.593749,0.953125,1647182689.593749
74,1104.015624,0.640625,1647182699.015624
75,1126.421874,0.65625,1647182721.421874
76,1127.062499,0.640625,1647182722.062499
77,1127.703124,0.640625,1647182722.703124
78,1128.359374,0.65625,1647182723.359374
79,1137.390624,0.671875,1647182732.390624
80,1137.906249,0.515625,1647182732.906249
81,1138.593749,0.6875,1647182733.593749
82,1139.343749,0.75,1647182734.343749
83,1146.531249,0.640625,1647182741.531249
84,1151.718749,0.625,1647182746.718749
85,1152.390624,0.671875,1647182747.390624
86,1152.999999,0.609375,1647182747.999999
87,1158.281249,0.609375,1647182753.281249
88,1158.937499,0.65625,1647182753.937499
89,1159.562499,0.625,1647182754.562499
90,1160.234374,0.671875,1647182755.234374
91,1160.812499,0.578125,1647182755.812499
92,1161.499999,0.6875,1647182756.499999
93,1162.156249,0.65625,1647182757.156249
94,1162.765624,0.609375,1647182757.765624
95,1163.421874,0.65625,1647182758.421874
96,1174.999999,0.609375,1647182769.999999
97,1175.546874,0.546875,1647182770.546874
98,1176.093749,0.546875,1647182771.093749
99,1178.937499,0.640625,1647182773.937499
100,1182.859374,0.578125,1647182777.859374
101,1186.859374,0.640625,1647182781.859374
102,1187.499999,0.640625,1647182782.499999
103,1188.015624,0.515625,1647182783.015624
104,1191.468749,0.65625,1647182786.468749
105,1197.937499,0.609375,1647182792.937499
106,1198.468749,0.53125,1647182793.468749
107,1199.031249,0.5625,1647182794.031249
108,1223.406249,1.0625,1647182818.406249
109,1230.781249,0.578125,1647182825.781249
110,1231.468749,0.6875,1647182826.468749
111,1232.140624,0.671875,1647182827.140624
112,1232.749999,0.609375,1647182827.749999
113,1233.343749,0.59375,1647182828.343749
114,1234.015624,0.671875,1647182829.015624
115,1234.656249,0.640625,1647182829.656249
116,1235.156249,0.5,1647182830.156249
117,1238.421874,0.625,1647182833.421874
118,1239.046874,0.625,1647182834.046874
119,1239.562499,0.515625,1647182834.562499
120,1242.953124,0.625,1647182837.953124
121,1243.609374,0.65625,1647182838.609374
122,1244.421874,0.8125,1647182839.421874
123,1245.109374,0.6875,1647182840.109374
124,1277.124999,0.625,1647182872.124999
125,1277.734374,0.609375,1647182872.734374
126,1278.359374,0.625,1647182873.359374
127,1379.593749,0.671875,1647182974.593749
128,1380.218749,0.625,1647182975.218749
129,1380.859374,0.640625,1647182975.859374
130,1381.546874,0.6875,1647182976.546874
131,1395.703124,0.640625,1647182990.703124
132,1399.593749,0.625,1647182994.593749
133,1400.249999,0.65625,1647182995.249999
134,1400.874999,0.625,1647182995.874999
135,1401.531249,0.65625,1647182996.531249
136,1402.156249,0.625,1647182997.156249
137,1406.812499,0.640625,1647183001.812499
138,1407.484374,0.671875,1647183002.484374
139,1408.156249,0.671875,1647183003.156249
140,1408.828124,0.671875,1647183003.828124
141,1409.499999,0.671875,1647183004.499999
142,1410.156249,0.65625,1647183005.156249
143,1410.828124,0.671875,1647183005.828124
144,1411.515624,0.6875,1647183006.515624
145,1412.203124,0.6875,1647183007.203124
146,1412.890624,0.6875,1647183007.890624
147,1413.546874,0.65625,1647183008.546874
148,1414.234374,0.6875,1647183009.234374
149,1430.109374,0.640625,1647183025.109374
150,1430.781249,0.671875,1647183025.781249
151,1431.437499,0.65625,1647183026.437499
152,1432.093749,0.65625,1647183027.093749
153,1432.765624,0.671875,1647183027.765624
154,1433.421874,0.65625,1647183028.421874
155,1434.062499,0.640625,1647183029.062499
156,1434.718749,0.65625,1647183029.718749
157,1435.359374,0.640625,1647183030.359374
158,1435.999999,0.640625,1647183030.999999
159,1436.656249,0.65625,1647183031.656249
160,1437.312499,0.65625,1647183032.312499
161,1437.984374,0.671875,1647183032.984374
162,1438.640624,0.65625,1647183033.640624
163,1439.328124,0.6875,1647183034.328124
164,1439.984374,0.65625,1647183034.984374
165,1440.624999,0.640625,1647183035.624999
166,1447.921874,0.671875,1647183042.921874
167,1448.593749,0.671875,1647183043.593749
168,1449.265624,0.671875,1647183044.265624
169,1449.937499,0.671875,1647183044.937499
170,1450.609374,0.671875,1647183045.609374
171,1451.281249,0.671875,1647183046.281249
172,1451.953124,0.671875,1647183046.953124
173,1452.609374,0.65625,1647183047.609374
174,1453.249999,0.640625,1647183048.249999
175,1453.921874,0.671875,1647183048.921874
176,1454.578124,0.65625,1647183049.578124
177,1455.234374,0.65625,1647183050.234374
178,1455.890624,0.65625,1647183050.890624
179,1456.546874,0.65625,1647183051.546874
180,1457.218749,0.671875,1647183052.218749
181,1457.859374,0.640625,1647183052.859374
182,1466.484374,0.671875,1647183061.484374
183,1467.156249,0.671875,1647183062.156249
184,1467.843749,0.6875,1647183062.843749
185,1499.453124,0.671875,1647183094.453124
186,1500.124999,0.671875,1647183095.124999
187,1509.999999,0.65625,1647183104.999999
188,1510.687499,0.6875,1647183105.687499
189,1511.343749,0.65625,1647183106.343749
190,1512.046874,0.703125,1647183107.046874
191,1512.718749,0.671875,1647183107.718749
192,1513.374999,0.65625,1647183108.374999
193,1514.046874,0.671875,1647183109.046874
194,1514.718749,0.671875,1647183109.718749
195,1515.390624,0.671875,1647183110.390624
196,1516.078124,0.6875,1647183111.078124
197,1516.781249,0.703125,1647183111.781249
